Hospital Name,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,NC,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,NC,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,NC,READM_30_COPD_HRRP,379,,1.0945,19.8540,18.1396,82,07/01/2014,06/30/2017
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,NC,READM_30_HF_HRRP,319,,1.0569,22.7012,21.4792,76,07/01/2014,06/30/2017
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,NC,READM_30_HIP_KNEE_HRRP,435,,0.8762,3.3820,3.8600,12,07/01/2014,06/30/2017
NOVANT HEALTH BRUNSWICK MEDICAL CENTER,NC,READM_30_PN_HRRP,445,,1.2144,19.1681,15.7840,97,07/01/2014,06/30/2017
ASANTE THREE RIVERS MEDICAL CENTER,OR,READM_30_AMI_HRRP,106,,0.9603,13.6062,14.1690,12,07/01/2014,06/30/2017
ASANTE THREE RIVERS MEDICAL CENTER,OR,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ASANTE THREE RIVERS MEDICAL CENTER,OR,READM_30_COPD_HRRP,292,,0.9451,16.4769,17.4334,44,07/01/2014,06/30/2017
ASANTE THREE RIVERS MEDICAL CENTER,OR,READM_30_HF_HRRP,253,,0.9563,18.8879,19.7506,45,07/01/2014,06/30/2017
ASANTE THREE RIVERS MEDICAL CENTER,OR,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.7148,2.7157,3.7990,Not Available,07/01/2014,06/30/2017
ASANTE THREE RIVERS MEDICAL CENTER,OR,READM_30_PN_HRRP,532,,0.9906,14.5765,14.7146,77,07/01/2014,06/30/2017
BROADLAWNS MEDICAL CENTER,IA,READM_30_AMI_HRRP,0,7 - No cases met the criteria for this measure.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BROADLAWNS MEDICAL CENTER,IA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BROADLAWNS MEDICAL CENTER,IA,READM_30_COPD_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BROADLAWNS MEDICAL CENTER,IA,READM_30_HF_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BROADLAWNS MEDICAL CENTER,IA,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0398,4.4836,4.3121,Not Available,07/01/2014,06/30/2017
BROADLAWNS MEDICAL CENTER,IA,READM_30_PN_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9572,13.6715,14.2827,Not Available,07/01/2014,06/30/2017
"SAINT FRANCIS HOSPITAL, INC",OK,READM_30_AMI_HRRP,602,,0.9063,12.9428,14.2817,72,07/01/2014,06/30/2017
"SAINT FRANCIS HOSPITAL, INC",OK,READM_30_CABG_HRRP,283,,1.1459,15.6990,13.7003,48,07/01/2014,06/30/2017
"SAINT FRANCIS HOSPITAL, INC",OK,READM_30_COPD_HRRP,817,,1.1058,22.6628,20.4952,193,07/01/2014,06/30/2017
"SAINT FRANCIS HOSPITAL, INC",OK,READM_30_HF_HRRP,1329,,0.9809,21.3879,21.8047,283,07/01/2014,06/30/2017
"SAINT FRANCIS HOSPITAL, INC",OK,READM_30_HIP_KNEE_HRRP,558,,1.2357,6.1904,5.0096,39,07/01/2014,06/30/2017
"SAINT FRANCIS HOSPITAL, INC",OK,READM_30_PN_HRRP,1810,,1.06,17.9812,16.9627,329,07/01/2014,06/30/2017
LANSDALE HOSPITAL,PA,READM_30_AMI_HRRP,97,,0.9653,15.6541,16.2164,13,07/01/2014,06/30/2017
LANSDALE HOSPITAL,PA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
LANSDALE HOSPITAL,PA,READM_30_COPD_HRRP,193,,1.0766,17.9367,16.6598,40,07/01/2014,06/30/2017
LANSDALE HOSPITAL,PA,READM_30_HF_HRRP,391,,0.9888,19.1054,19.3214,74,07/01/2014,06/30/2017
LANSDALE HOSPITAL,PA,READM_30_HIP_KNEE_HRRP,549,,1.2772,4.7291,3.7027,31,07/01/2014,06/30/2017
LANSDALE HOSPITAL,PA,READM_30_PN_HRRP,482,,0.9538,14.2638,14.9549,66,07/01/2014,06/30/2017
ST AGNES HOSPITAL,WI,READM_30_AMI_HRRP,193,,0.9633,13.5986,14.1172,24,07/01/2014,06/30/2017
ST AGNES HOSPITAL,WI,READM_30_CABG_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ST AGNES HOSPITAL,WI,READM_30_COPD_HRRP,114,,0.8942,16.8121,18.8004,11,07/01/2014,06/30/2017
ST AGNES HOSPITAL,WI,READM_30_HF_HRRP,288,,0.9981,20.5286,20.5682,59,07/01/2014,06/30/2017
ST AGNES HOSPITAL,WI,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0081,3.8381,3.8073,Not Available,07/01/2014,06/30/2017
ST AGNES HOSPITAL,WI,READM_30_PN_HRRP,340,,0.9424,15.1467,16.0732,48,07/01/2014,06/30/2017
BEACHAM MEMORIAL HOSPITAL,MS,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BEACHAM MEMORIAL HOSPITAL,MS,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BEACHAM MEMORIAL HOSPITAL,MS,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9543,15.0853,15.8070,Not Available,07/01/2014,06/30/2017
BEACHAM MEMORIAL HOSPITAL,MS,READM_30_HF_HRRP,46,,1.0292,19.9856,19.4179,11,07/01/2014,06/30/2017
BEACHAM MEMORIAL HOSPITAL,MS,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BEACHAM MEMORIAL HOSPITAL,MS,READM_30_PN_HRRP,129,,1.0305,15.6863,15.2218,22,07/01/2014,06/30/2017
AUBURN  COMMUNITY  HOSPITAL,NY,READM_30_AMI_HRRP,52,,1.0429,19.7459,18.9343,13,07/01/2014,06/30/2017
AUBURN  COMMUNITY  HOSPITAL,NY,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
AUBURN  COMMUNITY  HOSPITAL,NY,READM_30_COPD_HRRP,340,,1.0592,21.9218,20.6970,79,07/01/2014,06/30/2017
AUBURN  COMMUNITY  HOSPITAL,NY,READM_30_HF_HRRP,423,,1.2202,25.9537,21.2696,123,07/01/2014,06/30/2017
AUBURN  COMMUNITY  HOSPITAL,NY,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9972,5.0748,5.0893,Not Available,07/01/2014,06/30/2017
AUBURN  COMMUNITY  HOSPITAL,NY,READM_30_PN_HRRP,505,,1.141,18.6218,16.3209,102,07/01/2014,06/30/2017
CANDLER HOSPITAL,GA,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CANDLER HOSPITAL,GA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
CANDLER HOSPITAL,GA,READM_30_COPD_HRRP,456,,0.9749,19.0608,19.5522,85,07/01/2014,06/30/2017
CANDLER HOSPITAL,GA,READM_30_HF_HRRP,293,,0.9818,19.8492,20.2179,57,07/01/2014,06/30/2017
CANDLER HOSPITAL,GA,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0199,4.6624,4.5715,Not Available,07/01/2014,06/30/2017
CANDLER HOSPITAL,GA,READM_30_PN_HRRP,337,,1.0651,17.5689,16.4953,63,07/01/2014,06/30/2017
LOVELACE MEDICAL CENTER,NM,READM_30_AMI_HRRP,589,,0.9643,14.2979,14.8267,82,07/01/2014,06/30/2017
LOVELACE MEDICAL CENTER,NM,READM_30_CABG_HRRP,189,,1.0098,12.5681,12.4467,24,07/01/2014,06/30/2017
LOVELACE MEDICAL CENTER,NM,READM_30_COPD_HRRP,144,,0.9935,20.4866,20.6198,29,07/01/2014,06/30/2017
LOVELACE MEDICAL CENTER,NM,READM_30_HF_HRRP,473,,0.819,17.2188,21.0253,69,07/01/2014,06/30/2017
LOVELACE MEDICAL CENTER,NM,READM_30_HIP_KNEE_HRRP,214,,1.1222,4.9548,4.4154,13,07/01/2014,06/30/2017
LOVELACE MEDICAL CENTER,NM,READM_30_PN_HRRP,283,,0.9854,17.2757,17.5322,48,07/01/2014,06/30/2017
MOUNT CARMEL ST ANN'S,OH,READM_30_AMI_HRRP,151,,1.0691,16.4507,15.3870,29,07/01/2014,06/30/2017
MOUNT CARMEL ST ANN'S,OH,READM_30_CABG_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
MOUNT CARMEL ST ANN'S,OH,READM_30_COPD_HRRP,296,,0.9862,19.2753,19.5457,56,07/01/2014,06/30/2017
MOUNT CARMEL ST ANN'S,OH,READM_30_HF_HRRP,340,,1.0409,21.8872,21.0262,77,07/01/2014,06/30/2017
MOUNT CARMEL ST ANN'S,OH,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.8556,4.2817,5.0043,Not Available,07/01/2014,06/30/2017
MOUNT CARMEL ST ANN'S,OH,READM_30_PN_HRRP,509,,0.9321,16.1588,17.3362,78,07/01/2014,06/30/2017
GOOD SAMARITAN REGIONAL HLTH CENTER,IL,READM_30_AMI_HRRP,342,,1.0093,14.7466,14.6102,51,07/01/2014,06/30/2017
GOOD SAMARITAN REGIONAL HLTH CENTER,IL,READM_30_CABG_HRRP,74,,1.1415,15.5880,13.6562,15,07/01/2014,06/30/2017
GOOD SAMARITAN REGIONAL HLTH CENTER,IL,READM_30_COPD_HRRP,452,,0.9751,19.4534,19.9509,86,07/01/2014,06/30/2017
GOOD SAMARITAN REGIONAL HLTH CENTER,IL,READM_30_HF_HRRP,321,,1.076,22.5151,20.9240,77,07/01/2014,06/30/2017
GOOD SAMARITAN REGIONAL HLTH CENTER,IL,READM_30_HIP_KNEE_HRRP,326,,1.1988,5.5804,4.6550,22,07/01/2014,06/30/2017
GOOD SAMARITAN REGIONAL HLTH CENTER,IL,READM_30_PN_HRRP,627,,1.0708,17.9951,16.8050,117,07/01/2014,06/30/2017
COMMUNITY MEDICAL CENTER,NJ,READM_30_AMI_HRRP,719,,1.0043,18.0421,17.9645,130,07/01/2014,06/30/2017
COMMUNITY MEDICAL CENTER,NJ,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
COMMUNITY MEDICAL CENTER,NJ,READM_30_COPD_HRRP,1927,,1.1022,22.5441,20.4533,442,07/01/2014,06/30/2017
COMMUNITY MEDICAL CENTER,NJ,READM_30_HF_HRRP,1818,,0.9904,21.7613,21.9715,395,07/01/2014,06/30/2017
COMMUNITY MEDICAL CENTER,NJ,READM_30_HIP_KNEE_HRRP,814,,1.0837,5.8102,5.3617,49,07/01/2014,06/30/2017
COMMUNITY MEDICAL CENTER,NJ,READM_30_PN_HRRP,1618,,1.0477,18.3042,17.4714,299,07/01/2014,06/30/2017
SUTTER AMADOR HOSPITAL,CA,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SUTTER AMADOR HOSPITAL,CA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SUTTER AMADOR HOSPITAL,CA,READM_30_COPD_HRRP,144,,0.9557,16.1579,16.9062,20,07/01/2014,06/30/2017
SUTTER AMADOR HOSPITAL,CA,READM_30_HF_HRRP,140,,0.9765,18.1863,18.6232,24,07/01/2014,06/30/2017
SUTTER AMADOR HOSPITAL,CA,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0594,4.3351,4.0920,Not Available,07/01/2014,06/30/2017
SUTTER AMADOR HOSPITAL,CA,READM_30_PN_HRRP,255,,0.9893,15.1492,15.3128,38,07/01/2014,06/30/2017
JOHNSON MEMORIAL HOSPITAL,IN,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
JOHNSON MEMORIAL HOSPITAL,IN,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
JOHNSON MEMORIAL HOSPITAL,IN,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9276,16.3846,17.6626,Not Available,07/01/2014,06/30/2017
JOHNSON MEMORIAL HOSPITAL,IN,READM_30_HF_HRRP,138,,1.0204,20.8129,20.3970,30,07/01/2014,06/30/2017
JOHNSON MEMORIAL HOSPITAL,IN,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9707,3.6461,3.7561,Not Available,07/01/2014,06/30/2017
JOHNSON MEMORIAL HOSPITAL,IN,READM_30_PN_HRRP,172,,0.8448,13.2353,15.6661,13,07/01/2014,06/30/2017
LEHIGH VALLEY HOSPITAL,PA,READM_30_AMI_HRRP,1083,,1.029,15.2581,14.8278,167,07/01/2014,06/30/2017
LEHIGH VALLEY HOSPITAL,PA,READM_30_CABG_HRRP,324,,1.2099,15.7469,13.0145,56,07/01/2014,06/30/2017
LEHIGH VALLEY HOSPITAL,PA,READM_30_COPD_HRRP,750,,1.0229,20.7016,20.2375,157,07/01/2014,06/30/2017
LEHIGH VALLEY HOSPITAL,PA,READM_30_HF_HRRP,1848,,1.0797,22.9452,21.2505,429,07/01/2014,06/30/2017
LEHIGH VALLEY HOSPITAL,PA,READM_30_HIP_KNEE_HRRP,1714,,0.8856,3.9973,4.5135,66,07/01/2014,06/30/2017
LEHIGH VALLEY HOSPITAL,PA,READM_30_PN_HRRP,1036,,0.9817,16.1294,16.4293,166,07/01/2014,06/30/2017
LAS PALMAS MEDICAL CENTER,TX,READM_30_AMI_HRRP,241,,1.0473,17.8652,17.0578,46,07/01/2014,06/30/2017
LAS PALMAS MEDICAL CENTER,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,1.1438,13.7141,11.9895,Not Available,07/01/2014,06/30/2017
LAS PALMAS MEDICAL CENTER,TX,READM_30_COPD_HRRP,318,,1.011,18.2984,18.0996,59,07/01/2014,06/30/2017
LAS PALMAS MEDICAL CENTER,TX,READM_30_HF_HRRP,587,,1.0546,23.2555,22.0507,140,07/01/2014,06/30/2017
LAS PALMAS MEDICAL CENTER,TX,READM_30_HIP_KNEE_HRRP,229,,1.1385,5.3680,4.7151,15,07/01/2014,06/30/2017
LAS PALMAS MEDICAL CENTER,TX,READM_30_PN_HRRP,603,,1.1645,19.8418,17.0390,129,07/01/2014,06/30/2017
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,CA,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0011,14.5634,14.5469,Not Available,07/01/2014,06/30/2017
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,CA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,CA,READM_30_COPD_HRRP,125,,0.9513,19.0316,20.0053,20,07/01/2014,06/30/2017
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,CA,READM_30_HF_HRRP,227,,0.9915,20.5048,20.6812,46,07/01/2014,06/30/2017
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,CA,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,0.8846,3.2094,3.6282,Not Available,07/01/2014,06/30/2017
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,CA,READM_30_PN_HRRP,290,,0.9587,14.3021,14.9180,39,07/01/2014,06/30/2017
THE CARLE FOUNDATION HOSPITAL,IL,READM_30_AMI_HRRP,370,,0.9959,15.2033,15.2655,56,07/01/2014,06/30/2017
THE CARLE FOUNDATION HOSPITAL,IL,READM_30_CABG_HRRP,133,,1.0398,15.0017,14.4280,21,07/01/2014,06/30/2017
THE CARLE FOUNDATION HOSPITAL,IL,READM_30_COPD_HRRP,314,,0.9833,19.8387,20.1763,61,07/01/2014,06/30/2017
THE CARLE FOUNDATION HOSPITAL,IL,READM_30_HF_HRRP,697,,0.9617,21.8876,22.7593,150,07/01/2014,06/30/2017
THE CARLE FOUNDATION HOSPITAL,IL,READM_30_HIP_KNEE_HRRP,379,,0.9753,4.0940,4.1976,15,07/01/2014,06/30/2017
THE CARLE FOUNDATION HOSPITAL,IL,READM_30_PN_HRRP,538,,0.9799,17.1428,17.4940,91,07/01/2014,06/30/2017
UNIVERSITY OF MD BALTO WASHINGTON  MEDICAL CENTER,MD,READM_30_AMI_HRRP,294,,1.041,15.4842,14.8742,48,07/01/2014,06/30/2017
UNIVERSITY OF MD BALTO WASHINGTON  MEDICAL CENTER,MD,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
UNIVERSITY OF MD BALTO WASHINGTON  MEDICAL CENTER,MD,READM_30_COPD_HRRP,988,,1.0448,21.1145,20.2093,212,07/01/2014,06/30/2017
UNIVERSITY OF MD BALTO WASHINGTON  MEDICAL CENTER,MD,READM_30_HF_HRRP,1204,,1.146,24.5883,21.4566,305,07/01/2014,06/30/2017
UNIVERSITY OF MD BALTO WASHINGTON  MEDICAL CENTER,MD,READM_30_HIP_KNEE_HRRP,362,,1.2884,5.7191,4.4390,26,07/01/2014,06/30/2017
UNIVERSITY OF MD BALTO WASHINGTON  MEDICAL CENTER,MD,READM_30_PN_HRRP,1354,,1.0954,18.1301,16.5513,251,07/01/2014,06/30/2017
BELLEVUE HOSPITAL CENTER,NY,READM_30_AMI_HRRP,102,,1.0006,14.6727,14.6646,15,07/01/2014,06/30/2017
BELLEVUE HOSPITAL CENTER,NY,READM_30_CABG_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BELLEVUE HOSPITAL CENTER,NY,READM_30_COPD_HRRP,84,,1.0553,17.9106,16.9718,19,07/01/2014,06/30/2017
BELLEVUE HOSPITAL CENTER,NY,READM_30_HF_HRRP,100,,0.9668,19.1073,19.7624,17,07/01/2014,06/30/2017
BELLEVUE HOSPITAL CENTER,NY,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
BELLEVUE HOSPITAL CENTER,NY,READM_30_PN_HRRP,84,,1.0234,13.9006,13.5827,13,07/01/2014,06/30/2017
SCOTT & WHITE HOSPITAL BRENHAM,TX,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SCOTT & WHITE HOSPITAL BRENHAM,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SCOTT & WHITE HOSPITAL BRENHAM,TX,READM_30_COPD_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SCOTT & WHITE HOSPITAL BRENHAM,TX,READM_30_HF_HRRP,126,,1.0073,18.6929,18.5582,24,07/01/2014,06/30/2017
SCOTT & WHITE HOSPITAL BRENHAM,TX,READM_30_HIP_KNEE_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SCOTT & WHITE HOSPITAL BRENHAM,TX,READM_30_PN_HRRP,213,,0.9377,12.9949,13.8581,24,07/01/2014,06/30/2017
HIGHLANDS REGIONAL MEDICAL CENTER,FL,READM_30_AMI_HRRP,102,,0.9618,16.1150,16.7554,14,07/01/2014,06/30/2017
HIGHLANDS REGIONAL MEDICAL CENTER,FL,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HIGHLANDS REGIONAL MEDICAL CENTER,FL,READM_30_COPD_HRRP,447,,0.9942,19.3365,19.4486,86,07/01/2014,06/30/2017
HIGHLANDS REGIONAL MEDICAL CENTER,FL,READM_30_HF_HRRP,202,,1.0076,22.0354,21.8689,45,07/01/2014,06/30/2017
HIGHLANDS REGIONAL MEDICAL CENTER,FL,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,1.0403,6.5935,6.3381,Not Available,07/01/2014,06/30/2017
HIGHLANDS REGIONAL MEDICAL CENTER,FL,READM_30_PN_HRRP,257,,0.9846,18.2698,18.5551,46,07/01/2014,06/30/2017
SUMMIT MEDICAL CENTER,WY,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SUMMIT MEDICAL CENTER,WY,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SUMMIT MEDICAL CENTER,WY,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SUMMIT MEDICAL CENTER,WY,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SUMMIT MEDICAL CENTER,WY,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
SUMMIT MEDICAL CENTER,WY,READM_30_PN_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
FLOYD CHEROKEE MEDICAL CENTER,AL,READM_30_AMI_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
FLOYD CHEROKEE MEDICAL CENTER,AL,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
FLOYD CHEROKEE MEDICAL CENTER,AL,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,0.966,15.7225,16.2752,Not Available,07/01/2014,06/30/2017
FLOYD CHEROKEE MEDICAL CENTER,AL,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,1.009,20.1397,19.9608,Not Available,07/01/2014,06/30/2017
FLOYD CHEROKEE MEDICAL CENTER,AL,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
FLOYD CHEROKEE MEDICAL CENTER,AL,READM_30_PN_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9202,14.5115,15.7707,Not Available,07/01/2014,06/30/2017
HEBREW HOME AND HOSPITAL INC,CT,READM_30_AMI_HRRP,0,7 - No cases met the criteria for this measure.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HEBREW HOME AND HOSPITAL INC,CT,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HEBREW HOME AND HOSPITAL INC,CT,READM_30_COPD_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HEBREW HOME AND HOSPITAL INC,CT,READM_30_HF_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HEBREW HOME AND HOSPITAL INC,CT,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
HEBREW HOME AND HOSPITAL INC,CT,READM_30_PN_HRRP,Not Available,5 - Results are not available for this reporting period.,0.9794,13.8788,14.1700,Not Available,07/01/2014,06/30/2017
PUTNAM HOSPITAL CENTER,NY,READM_30_AMI_HRRP,77,,0.985,16.8032,17.0583,12,07/01/2014,06/30/2017
PUTNAM HOSPITAL CENTER,NY,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
PUTNAM HOSPITAL CENTER,NY,READM_30_COPD_HRRP,370,,1.1636,21.7126,18.6590,92,07/01/2014,06/30/2017
PUTNAM HOSPITAL CENTER,NY,READM_30_HF_HRRP,375,,1.0631,21.3604,20.0929,84,07/01/2014,06/30/2017
PUTNAM HOSPITAL CENTER,NY,READM_30_HIP_KNEE_HRRP,577,,1.1079,4.8294,4.3591,30,07/01/2014,06/30/2017
PUTNAM HOSPITAL CENTER,NY,READM_30_PN_HRRP,417,,0.9923,16.6573,16.7858,69,07/01/2014,06/30/2017
ALTUS BAYTOWN HOSPITAL,TX,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ALTUS BAYTOWN HOSPITAL,TX,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ALTUS BAYTOWN HOSPITAL,TX,READM_30_COPD_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ALTUS BAYTOWN HOSPITAL,TX,READM_30_HF_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ALTUS BAYTOWN HOSPITAL,TX,READM_30_HIP_KNEE_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
ALTUS BAYTOWN HOSPITAL,TX,READM_30_PN_HRRP,Not Available,1 - The number of cases/patients is too few to report.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
RIVERSIDE SHORE MEMORIAL HOSPITAL,VA,READM_30_AMI_HRRP,Not Available,5 - Results are not available for this reporting period.,1.007,18.4135,18.2851,Not Available,07/01/2014,06/30/2017
RIVERSIDE SHORE MEMORIAL HOSPITAL,VA,READM_30_CABG_HRRP,Not Available,5 - Results are not available for this reporting period.,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2017
